INFO  17:04:38 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  17:04:38 New Cassandra host /172.31.7.56:9042 added
Connected to cluster: Test Cluster
Datatacenter: datacenter1; Host: /172.31.7.56; Rack: rack1
Created schema. Sleeping 1s for propagation.
Sleeping 2s...
Warming up insert with 50000 iterations...
Failed to connect over JMX; not collecting these stats
Generating batches with [1..1] partitions and [1..1] rows (of [1..1] total rows in the partitions)
Warming up likelyquery0 with 50000 iterations...
Failed to connect over JMX; not collecting these stats
Running [insert, likelyquery0] with 250 threads for 5000000 iteration
Failed to connect over JMX; not collecting these stats
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,        664089,     414,     414,     414,   604.0,   610.5,   988.2,  1188.1,  1367.4,  1624.6, 1628.8,  0.03150,      0,      0,       0,       0,       0,       0
insert,       173625,     100,     100,     100,   299.3,   279.8,   473.3,   602.0,   862.1,   987.5, 1712.9,  0.03016,      0,      0,       0,       0,       0,       0
likelyquery0,    524596,     306,     306,     306,   721.0,   682.5,  1081.3,  1342.9,  1811.3,  1958.8, 1712.9,  0.03016,      0,      0,       0,       0,       0,       0
total,        698221,     406,     406,     406,   616.8,   611.6,  1034.4,  1280.0,  1749.2,  1958.8, 1712.9,  0.03016,      0,      0,       0,       0,       0,       0
insert,       179942,     103,     103,     103,   294.5,   274.8,   463.0,   581.2,   726.9,   806.9, 1774.4,  0.02887,      0,      0,       0,       0,       0,       0
likelyquery0,    543770,     312,     312,     312,   704.8,   655.0,  1066.8,  1268.4,  1532.1,  1662.5, 1774.4,  0.02887,      0,      0,       0,       0,       0,       0
total,        723712,     415,     415,     415,   603.1,   591.5,  1024.1,  1231.3,  1470.0,  1662.5, 1774.4,  0.02887,      0,      0,       0,       0,       0,       0
insert,       185862,     107,     107,     107,   293.6,   283.2,   443.3,   519.7,   618.5,   664.8, 1829.8,  0.02769,      0,      0,       0,       0,       0,       0
likelyquery0,    560825,     308,     308,     308,   708.7,   687.4,  1010.0,  1155.0,  1303.9,  1430.1, 1829.8,  0.02769,      0,      0,       0,       0,       0,       0
total,        746687,     415,     415,     415,   601.8,   618.8,   972.7,  1131.3,  1299.6,  1430.1, 1829.8,  0.02769,      0,      0,       0,       0,       0,       0
insert,       192550,     101,     101,     101,   294.6,   274.7,   479.4,   586.7,   730.0,   907.2, 1896.0,  0.02660,      0,      0,       0,       0,       0,       0
likelyquery0,    581615,     314,     314,     314,   701.6,   652.8,  1067.6,  1285.9,  1522.8,  1767.8, 1896.0,  0.02660,      0,      0,       0,       0,       0,       0
total,        774165,     415,     415,     415,   602.6,   595.1,  1022.9,  1254.3,  1511.4,  1767.8, 1896.0,  0.02660,      0,      0,       0,       0,       0,       0
insert,       199918,     100,     100,     100,   295.5,   280.3,   458.1,   562.0,   661.3,   731.8, 1969.5,  0.02560,      0,      0,       0,       0,       0,       0
likelyquery0,    604571,     312,     312,     312,   705.0,   677.7,  1018.7,  1184.0,  1335.8,  1612.0, 1969.5,  0.02560,      0,      0,       0,       0,       0,       0
total,        804489,     412,     412,     412,   605.5,   606.7,   988.4,  1154.9,  1315.1,  1612.0, 1969.5,  0.02560,      0,      0,       0,       0,       0,       0
insert,       206673,     100,     100,     100,   297.7,   270.0,   508.0,   644.8,   825.8,   852.9, 2037.1,  0.02469,      0,      0,       0,       0,       0,       0
likelyquery0,    625464,     309,     309,     309,   712.5,   643.8,  1164.4,  1394.8,  1593.0,  1850.0, 2037.1,  0.02469,      0,      0,       0,       0,       0,       0
total,        832137,     409,     409,     409,   611.1,   583.8,  1116.0,  1365.6,  1582.6,  1850.0, 2037.1,  0.02469,      0,      0,       0,       0,       0,       0
insert,       214186,      98,      98,      98,   301.1,   288.7,   450.8,   564.4,   793.8,   865.2, 2113.4,  0.02388,      0,      0,       0,       0,       0,       0
likelyquery0,    648725,     305,     305,     305,   722.4,   702.3,  1021.7,  1230.7,  1427.1,  1620.4, 2113.4,  0.02388,      0,      0,       0,       0,       0,       0
total,        862911,     403,     403,     403,   619.5,   632.2,   988.5,  1186.5,  1401.4,  1620.4, 2113.4,  0.02388,      0,      0,       0,       0,       0,       0
insert,       222008,     106,     106,     106,   291.7,   269.5,   478.5,   569.5,   656.8,   693.4, 2187.3,  0.02305,      0,      0,       0,       0,       0,       0
likelyquery0,    671903,     314,     314,     314,   698.0,   638.6,  1075.2,  1237.1,  1401.6,  1512.7, 2187.3,  0.02305,      0,      0,       0,       0,       0,       0
total,        893911,     420,     420,     420,   595.5,   580.4,  1035.7,  1212.6,  1396.1,  1512.7, 2187.3,  0.02305,      0,      0,       0,       0,       0,       0
insert,       229913,     104,     104,     104,   297.6,   285.5,   449.6,   528.5,   620.3,   713.4, 2263.2,  0.02231,      0,      0,       0,       0,       0,       0
likelyquery0,    695233,     307,     307,     307,   715.3,   694.1,  1028.1,  1186.2,  1315.7,  1457.7, 2263.3,  0.02231,      0,      0,       0,       0,       0,       0
total,        925146,     411,     411,     411,   609.6,   623.0,   985.1,  1169.6,  1306.8,  1457.7, 2263.3,  0.02231,      0,      0,       0,       0,       0,       0
insert,       238614,     102,     102,     102,   302.1,   278.5,   504.9,   620.7,   733.3,   850.7, 2348.4,  0.02165,      0,      0,       0,       0,       0,       0
likelyquery0,    720798,     300,     300,     300,   727.5,   666.4,  1150.4,  1362.7,  1566.9,  1840.4, 2348.4,  0.02165,      0,      0,       0,       0,       0,       0
total,        959412,     402,     402,     402,   619.5,   603.5,  1102.2,  1323.5,  1548.2,  1840.4, 2348.4,  0.02165,      0,      0,       0,       0,       0,       0
insert,       247210,     101,     101,     101,   298.0,   277.8,   480.2,   585.7,   792.3,   899.2, 2433.4,  0.02099,      0,      0,       0,       0,       0,       0
likelyquery0,    747123,     310,     310,     310,   712.1,   662.4,  1088.2,  1294.5,  1589.5,  1794.1, 2433.4,  0.02099,      0,      0,       0,       0,       0,       0
total,        994333,     411,     411,     411,   610.2,   596.2,  1049.4,  1262.3,  1556.8,  1794.1, 2433.4,  0.02099,      0,      0,       0,       0,       0,       0
insert,       253458,     103,     103,     103,   296.2,   286.9,   449.9,   523.7,   593.9,   688.9, 2493.7,  0.02036,      0,      0,       0,       0,       0,       0
likelyquery0,    765806,     309,     309,     309,   707.9,   688.8,   992.5,  1165.2,  1387.6,  1551.7, 2493.8,  0.02036,      0,      0,       0,       0,       0,       0
total,       1019264,     413,     413,     413,   604.7,   619.2,   963.9,  1139.6,  1358.0,  1551.7, 2493.8,  0.02036,      0,      0,       0,       0,       0,       0
insert,       261388,     100,     100,     100,   295.1,   275.4,   469.1,   595.5,   753.7,   850.1, 2573.1,  0.01978,      0,      0,       0,       0,       0,       0
likelyquery0,    790425,     310,     310,     310,   711.4,   666.7,  1083.7,  1308.3,  1473.6,  1591.4, 2573.1,  0.01978,      0,      0,       0,       0,       0,       0
total,       1051813,     410,     410,     410,   610.0,   603.5,  1041.4,  1268.9,  1468.2,  1591.4, 2573.1,  0.01978,      0,      0,       0,       0,       0,       0
insert,       273311,     103,     103,     103,   296.2,   281.9,   457.8,   552.5,   679.9,   914.5, 2688.5,  0.01922,      0,      0,       0,       0,       0,       0
likelyquery0,    826110,     309,     309,     309,   709.9,   679.8,  1036.2,  1222.5,  1443.1,  1638.8, 2688.5,  0.01922,      0,      0,       0,       0,       0,       0
total,       1099421,     412,     412,     412,   606.3,   607.7,   996.9,  1187.4,  1423.6,  1638.8, 2688.5,  0.01922,      0,      0,       0,       0,       0,       0
insert,       280791,     102,     102,     102,   294.5,   275.1,   468.7,   593.6,   732.9,   925.4, 2761.6,  0.01870,      0,      0,       0,       0,       0,       0
likelyquery0,    848778,     310,     310,     310,   705.1,   665.7,  1059.3,  1279.0,  1544.7,  1695.9, 2761.6,  0.01870,      0,      0,       0,       0,       0,       0
total,       1129569,     413,     413,     413,   603.2,   595.1,  1010.5,  1244.4,  1523.6,  1695.9, 2761.6,  0.01870,      0,      0,       0,       0,       0,       0
insert,       289035,     105,     105,     105,   297.0,   281.5,   460.0,   592.9,   685.2,   743.1, 2840.4,  0.01820,      0,      0,       0,       0,       0,       0
likelyquery0,    873027,     308,     308,     308,   714.4,   681.0,  1061.6,  1273.0,  1470.5,  1678.6, 2840.4,  0.01820,      0,      0,       0,       0,       0,       0
total,       1162062,     412,     412,     412,   608.5,   616.4,  1012.3,  1236.0,  1445.3,  1678.6, 2840.4,  0.01820,      0,      0,       0,       0,       0,       0
insert,       302675,     108,     108,     108,   290.5,   274.0,   456.3,   558.6,   700.6,   834.5, 2966.3,  0.01772,      0,      0,       0,       0,       0,       0
likelyquery0,    912290,     312,     312,     312,   700.7,   666.8,  1024.9,  1234.9,  1403.6,  1575.9, 2966.3,  0.01772,      0,      0,       0,       0,       0,       0
total,       1214965,     420,     420,     420,   594.9,   594.1,   985.5,  1197.8,  1391.1,  1575.9, 2966.3,  0.01772,      0,      0,       0,       0,       0,       0
insert,       308889,     108,     108,     108,   290.7,   273.5,   460.1,   563.7,   675.8,   733.6, 3023.7,  0.01726,      0,      0,       0,       0,       0,       0
likelyquery0,    930166,     311,     311,     311,   701.5,   662.5,  1044.7,  1253.2,  1407.0,  1583.8, 3023.7,  0.01726,      0,      0,       0,       0,       0,       0
total,       1239055,     419,     419,     419,   595.5,   588.6,  1001.1,  1214.3,  1397.8,  1583.8, 3023.7,  0.01726,      0,      0,       0,       0,       0,       0
insert,       316322,     102,     102,     102,   299.0,   284.5,   471.9,   597.4,   767.8,   919.2, 3096.8,  0.01685,      0,      0,       0,       0,       0,       0
