INFO  15:21:55 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  15:21:55 New Cassandra host /172.31.7.56:9042 added
Connected to cluster: Test Cluster
Datatacenter: datacenter1; Host: /172.31.7.56; Rack: rack1
Created schema. Sleeping 1s for propagation.
Sleeping 2s...
Warming up likelyquery0 with 50000 iterations...
Failed to connect over JMX; not collecting these stats
Running [likelyquery0] with 250 threads for 20000000 iteration
Failed to connect over JMX; not collecting these stats
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,        118056,    1641,    1641,    1641,   150.8,   146.7,   190.9,   215.8,   229.6,   235.6,   71.1,  0.00860,      0,      0,       0,       0,       0,       0
total,        120059,    1683,    1683,    1683,   150.5,   142.6,   201.6,   231.4,   268.9,   274.7,   72.3,  0.00846,      0,      0,       0,       0,       0,       0
total,        122052,    1616,    1616,    1616,   155.1,   150.3,   202.5,   232.9,   256.1,   263.5,   73.5,  0.00834,      0,      0,       0,       0,       0,       0
total,        123917,    1591,    1591,    1591,   150.4,   145.3,   194.3,   220.9,   253.7,   268.2,   74.7,  0.00824,      0,      0,       0,       0,       0,       0
total,        125779,    1582,    1582,    1582,   163.5,   152.7,   237.5,   267.2,   311.5,   327.7,   75.8,  0.00815,      0,      0,       0,       0,       0,       0
total,        127631,    1570,    1570,    1570,   159.8,   152.5,   206.1,   231.7,   257.3,   258.6,   77.0,  0.00807,      0,      0,       0,       0,       0,       0
total,        129596,    1630,    1630,    1630,   153.4,   147.8,   195.9,   223.9,   274.2,   279.6,   78.2,  0.00795,      0,      0,       0,       0,       0,       0
total,        131538,    1622,    1622,    1622,   154.0,   150.4,   192.0,   220.2,   265.8,   279.3,   79.4,  0.00784,      0,      0,       0,       0,       0,       0
total,        133442,    1626,    1626,    1626,   153.4,   150.4,   188.6,   214.4,   237.4,   245.7,   80.6,  0.00773,      0,      0,       0,       0,       0,       0
total,        135331,    1582,    1582,    1582,   158.6,   154.8,   197.8,   220.9,   258.6,   267.6,   81.8,  0.00765,      0,      0,       0,       0,       0,       0
total,        137176,    1550,    1550,    1550,   160.2,   153.8,   209.1,   238.7,   273.9,   284.6,   83.0,  0.00760,      0,      0,       0,       0,       0,       0
